0	0	1	1
1	0	3	1
2	0	68	1
3	0	49	1
4	0	54	1
5	0	23	1
6	1	32	1
7	1	3	1
8	1	6	1
9	1	48	1
10	1	58	1
11	1	62	1
12	2	3	1
13	2	60	1
14	3	5	1
15	3	45	1
16	3	46	1
17	3	22	1
18	3	61	1
19	4	5	1
20	4	7	1
21	5	10	1
22	5	54	1
23	6	51	1
24	7	51	1
25	8	65	1
26	8	36	1
27	8	37	1
28	8	9	1
29	8	29	1
30	8	62	1
31	9	26	1
32	10	50	1
33	10	11	1
34	12	32	1
35	12	15	1
36	12	29	1
37	12	61	1
38	12	13	1
39	13	40	1
40	13	43	1
41	13	43	1
42	13	29	1
43	14	30	1
44	14	31	1
45	15	42	1
46	15	43	1
47	16	17	1
48	16	61	1
49	16	22	1
50	16	39	1
51	17	25	1
52	18	19	1
53	18	20	1
54	18	46	1
55	18	23	1
56	20	21	1
57	21	22	1
58	22	23	1
59	22	24	1
60	22	61	1
61	24	25	1
62	25	38	1
63	26	61	1
64	26	29	1
65	27	35	1
66	27	36	1
67	27	61	1
68	28	32	1
69	30	56	1
70	31	44	1
71	33	40	1
72	34	35	1
73	34	62	1
74	39	41	1
75	41	63	1
76	42	56	1
77	42	44	1
78	43	56	1
79	43	62	1
80	46	47	1
81	47	53	1
82	48	50	1
83	49	50	1
84	52	54	1
85	53	54	1
86	54	55	1
87	57	64	1
88	57	66	1
89	59	67	1
90	59	60	1
91	61	62	1
92	61	63	1
93	62	63	1
94	62	63	1
95	63	64	1
96	66	67	1
97	67	68	1
